atm_name,transaction_date,No_Of_Withdrawals,no_of_cub_card_withdrawals,no_of_other_card_withdrawals,total_amount_withdrawn,amount_withdrawn_cub_card,amount_withdrawn_other_card,weekday,working_day
Big Street ATM,01/01/2011,50,20,30,123800,41700,82100,saturday,H
Mount Road ATM,01/01/2011,253,67,186,767900,270900,497000,saturday,H
Airport ATM,01/01/2011,98,56,42,503400,347700,155700,saturday,H
KK Nagar ATM,01/01/2011,265,159,106,945300,532600,412700,saturday,H
Christ College ATM,01/01/2011,74,25,49,287700,148200,139500,saturday,H
Big Street ATM,02/01/2011,17,5,12,52800,20900,31900,sunday,H
Mount Road ATM,02/01/2011,194,50,144,529300,171700,357600,sunday,H
Airport ATM,02/01/2011,67,53,14,268600,213300,55300,sunday,H
KK Nagar ATM,02/01/2011,260,155,105,809400,456200,353200,sunday,H
Christ College ATM,02/01/2011,80,24,56,300000,95600,204400,sunday,H
Big Street ATM,03/01/2011,24,21,3,88100,77100,11000,monday,W
Mount Road ATM,03/01/2011,246,115,131,897100,462600,434500,monday,W
Airport ATM,03/01/2011,109,90,19,603900,501800,102100,monday,W
KK Nagar ATM,03/01/2011,309,232,77,1333100,1010600,322500,monday,W
Christ College ATM,03/01/2011,108,46,62,522800,210900,311900,monday,W
Big Street ATM,04/01/2011,34,12,22,101600,51200,50400,tuesday,W
Mount Road ATM,04/01/2011,246,96,150,826000,374200,451800,tuesday,W
Airport ATM,04/01/2011,113,80,33,541600,418400,123200,tuesday,W
KK Nagar ATM,04/01/2011,225,175,50,999400,798800,200600,tuesday,W
Christ College ATM,04/01/2011,143,41,102,737400,238000,499400,tuesday,W
Big Street ATM,05/01/2011,30,14,16,98000,52700,45300,wednesday,W
Mount Road ATM,05/01/2011,211,107,104,754400,437800,316600,wednesday,W
Airport ATM,05/01/2011,100,70,30,530000,424400,105600,wednesday,W
KK Nagar ATM,05/01/2011,255,209,46,959200,806500,152700,wednesday,W
Christ College ATM,05/01/2011,95,41,54,387300,213600,173700,wednesday,W
Big Street ATM,06/01/2011,29,16,13,85900,54400,31500,thursday,W
Mount Road ATM,06/01/2011,213,89,124,834200,355700,478500,thursday,W
Airport ATM,06/01/2011,96,73,23,434500,359200,75300,thursday,W
KK Nagar ATM,06/01/2011,211,176,35,820700,702900,117800,thursday,W
Christ College ATM,06/01/2011,116,50,66,430500,168700,261800,thursday,W
Big Street ATM,07/01/2011,23,13,10,76500,50600,25900,friday,W
Mount Road ATM,07/01/2011,172,99,73,575300,427300,148000,friday,W
Airport ATM,07/01/2011,85,64,21,334800,248400,86400,friday,W
KK Nagar ATM,07/01/2011,205,175,30,833500,706900,126600,friday,W
Christ College ATM,07/01/2011,85,46,39,345800,212300,133500,friday,W
Big Street ATM,08/01/2011,37,17,20,128600,54200,74400,saturday,H
Mount Road ATM,08/01/2011,212,99,113,792700,531500,261200,saturday,H
Airport ATM,08/01/2011,126,84,42,518900,395700,123200,saturday,H
KK Nagar ATM,08/01/2011,217,169,48,782100,606300,175800,saturday,H
Christ College ATM,08/01/2011,86,45,41,366500,195500,171000,saturday,H
Big Street ATM,09/01/2011,36,17,19,89000,37600,51400,sunday,H
Mount Road ATM,09/01/2011,311,50,261,751800,217400,534400,sunday,H
Airport ATM,09/01/2011,106,62,44,337100,243300,93800,sunday,H
KK Nagar ATM,09/01/2011,149,114,35,438000,332000,106000,sunday,H
Christ College ATM,09/01/2011,100,40,60,363800,212200,151600,sunday,H
Big Street ATM,10/01/2011,29,14,15,89800,60500,29300,monday,W
Mount Road ATM,10/01/2011,219,108,111,702200,487500,214700,monday,W
Airport ATM,10/01/2011,99,73,26,424200,310800,113400,monday,W
KK Nagar ATM,10/01/2011,224,192,32,949700,826100,123600,monday,W
Christ College ATM,10/01/2011,116,53,63,545400,315800,229600,monday,W
Big Street ATM,11/01/2011,42,20,22,111900,74400,37500,tuesday,W
Mount Road ATM,11/01/2011,232,94,138,506000,261800,244200,tuesday,W
Airport ATM,11/01/2011,101,70,31,390700,273100,117600,tuesday,W
KK Nagar ATM,11/01/2011,228,180,48,837900,705600,132300,tuesday,W
Christ College ATM,11/01/2011,92,36,56,343700,165600,178100,tuesday,W
Big Street ATM,12/01/2011,19,9,10,42700,13600,29100,wednesday,W
Mount Road ATM,12/01/2011,235,92,143,647600,363000,284600,wednesday,W
Airport ATM,12/01/2011,116,88,28,497200,427600,69600,wednesday,W
KK Nagar ATM,12/01/2011,198,176,22,769600,702300,67300,wednesday,W
Christ College ATM,12/01/2011,74,37,37,301300,177100,124200,wednesday,W
Big Street ATM,13/01/2011,22,12,10,81200,53600,27600,thursday,W
Mount Road ATM,13/01/2011,184,93,91,506300,323100,183200,thursday,W
Airport ATM,13/01/2011,103,81,22,411700,356500,55200,thursday,W
KK Nagar ATM,13/01/2011,223,179,44,771400,649500,121900,thursday,W
Christ College ATM,13/01/2011,143,52,91,510300,232700,277600,thursday,W
Big Street ATM,14/01/2011,25,16,9,91100,67800,23300,friday,W
Mount Road ATM,14/01/2011,179,71,108,451400,250300,201100,friday,W
Airport ATM,14/01/2011,109,89,20,458500,424200,34300,friday,W
KK Nagar ATM,14/01/2011,238,176,62,876400,684200,192200,friday,W
Christ College ATM,14/01/2011,91,52,39,373000,241300,131700,friday,W
Big Street ATM,15/01/2011,24,16,8,115900,98700,17200,saturday,H
Mount Road ATM,15/01/2011,97,24,73,200500,119500,81000,saturday,H
Airport ATM,15/01/2011,52,35,17,163300,139800,23500,saturday,H
